Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1605855600.0,2020-11-20 07-AM,BTCUSD,18156.7,18320,18141.8,18294,4.358,79555.48
1605852000.0,2020-11-20 06-AM,BTCUSD,18155.3,18199.8,18092.5,18156.7,2.934,53234.51
1605848400.0,2020-11-20 05-AM,BTCUSD,18190,18229.1,18067,18155.3,8.809,159656.49
1605844800.0,2020-11-20 04-AM,BTCUSD,17935.1,18229,17935.1,18190,7.281,132368.79
1605841200.0,2020-11-20 03-AM,BTCUSD,18023.3,18037.7,17935.1,17935.1,5.654,101806.93
1605837600.0,2020-11-20 02-AM,BTCUSD,17975.5,18052.8,17955.3,18023.3,4.238,76259.29
1605834000.0,2020-11-20 01-AM,BTCUSD,17816.3,17975.5,17777.7,17975.5,2.549,45481.11
1605830400.0,2020-11-20 12-AM,BTCUSD,17843,17946.3,17809.5,17816.3,3.987,71329.0
1605826800.0,2020-11-19 11-PM,BTCUSD,17898.2,17916,17726.8,17843,7.859,139860.38
1605823200.0,2020-11-19 10-PM,BTCUSD,17967.8,17982.4,17898.2,17898.2,5.554,99558.32
1605819600.0,2020-11-19 09-PM,BTCUSD,18057.5,18089.3,17900,17967.8,4.444,79834.93
1605816000.0,2020-11-19 08-PM,BTCUSD,17963.2,18057.5,17922.3,18057.5,2.713,48850.67
1605812400.0,2020-11-19 07-PM,BTCUSD,17955.7,17998.9,17890,17963.2,3.244,58271.91
1605808800.0,2020-11-19 06-PM,BTCUSD,18000,18052.2,17909.3,17955.7,3.68,66245.18
1605805200.0,2020-11-19 05-PM,BTCUSD,18002.7,18052.8,17924.5,18000,5.219,93685.23
1605801600.0,2020-11-19 04-PM,BTCUSD,18110.9,18118.9,17924.6,18002.7,10.55,189891.74
1605798000.0,2020-11-19 03-PM,BTCUSD,18147.9,18179.8,18022.2,18110.9,8.172,147971.27
1605794400.0,2020-11-19 02-PM,BTCUSD,18001.6,18148,17857.6,18147.9,25.13,453735.67
1605790800.0,2020-11-19 01-PM,BTCUSD,17746.2,18001.6,17746.2,18001.6,15.23,272780.14
1605787200.0,2020-11-19 12-PM,BTCUSD,17783.3,17800,17649.4,17746.2,5.742,101694.6
1605783600.0,2020-11-19 11-AM,BTCUSD,17622.4,17783.3,17600,17783.3,8.464,149591.82
1605780000.0,2020-11-19 10-AM,BTCUSD,17466.4,17637.6,17394.7,17622.4,9.329,163096.64
1605776400.0,2020-11-19 09-AM,BTCUSD,17544.3,17651.9,17365.2,17466.4,14.72,258117.32
1605772800.0,2020-11-19 08-AM,BTCUSD,17683,17744.1,17401,17544.3,12.69,222748.14
1605769200.0,2020-11-19 07-AM,BTCUSD,17786.2,17792.5,17624.3,17683,7.951,140840.77
1605765600.0,2020-11-19 06-AM,BTCUSD,17922.6,17922.6,17730,17786.2,8.573,152571.66
